"listTableLink","listTableLink href","alignLeft","alignLeft 2","listTableLink href 2"
"Pranav Garimella","https://researcherprofiles.org/profile/178559","Medicine","Associate Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/178559&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Alan Saghatelian","https://researcherprofiles.org/profile/180774","Cell and Developmental Biology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/180774&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Xiang-dong Fu","https://researcherprofiles.org/profile/184072","Cellular and Molecular Medicine","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/184072&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Sarah Blair","https://researcherprofiles.org/profile/189634","Surgery","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/189634&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Dinna Cruz","https://researcherprofiles.org/profile/179281","Medicine","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/179281&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Elsa Sanchez-lopez","https://researcherprofiles.org/profile/180776","Orthopedic Surgery","Assistant Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/180776&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Fred Gage","https://researcherprofiles.org/profile/178546","Neurobiology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/178546&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Faik Tezcan","https://researcherprofiles.org/profile/181577","Chemistry and Biochemistry","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/181577&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Shelley Halpain","https://researcherprofiles.org/profile/179305","Neurobiology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/179305&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Shantanu Sinha","https://researcherprofiles.org/profile/181056","Radiology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/181056&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=3&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iDlMadrFNOOhaV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
